,PeriodStart,PeriodEnd,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily,GHI(W/m2) medido,UVE (W/m2) medido
0,2013-01-01T00:00:00Z,2013-01-01T01:00:00Z,PT60M,21.6,126,56.0,19.0,0,0,0,0,33.4,84.8,0.0,805.1,118,2.1,106,0.14,-10.10424361815644,-3.0681e-05
1,2013-01-01T01:00:00Z,2013-01-01T02:00:00Z,PT60M,20.5,135,71.0,18.7,0,0,0,0,33.7,89.7,0.0,805.9,125,1.7,116,0.14,-9.95034063859476,-3.570840000000001e-05
2,2013-01-01T02:00:00Z,2013-01-01T03:00:00Z,PT60M,19.3,148,78.4,18.5,0,0,0,0,33.9,94.7,0.0,806.7,137,1.3,125,0.14,-9.741032586390872,-2.813579999999999e-05
3,2013-01-01T03:00:00Z,2013-01-01T04:00:00Z,PT60M,18.6,164,52.7,18.2,0,0,0,0,33.9,97.1,0.0,806.7,145,1.0,130,0.14,-9.287531806615778,-2.835945e-05
4,2013-01-01T04:00:00Z,2013-01-01T05:00:00Z,PT60M,18.3,-178,45.8,17.8,0,0,0,0,33.5,96.6,0.0,806.1,144,0.6,132,0.14,-9.250595091520973,-3.29616e-05
5,2013-01-01T05:00:00Z,2013-01-01T06:00:00Z,PT60M,18.0,-160,70.1,17.4,0,0,0,0,33.0,96.1,0.0,805.5,139,0.3,129,0.14,-6.960518755643109,-5.874120000000001e-05
6,2013-01-01T06:00:00Z,2013-01-01T07:00:00Z,PT60M,17.5,-145,77.8,16.7,0,0,0,0,32.9,95.5,0.0,805.5,150,1.2,123,0.14,-8.916112615940241,-0.00012194595
7,2013-01-01T07:00:00Z,2013-01-01T08:00:00Z,PT60M,16.7,-133,77.6,15.8,0,0,0,0,33.0,94.8,0.0,806.2,151,3.3,114,0.14,-2.573257818271361,0.00101784375
8,2013-01-01T08:00:00Z,2013-01-01T09:00:00Z,PT60M,15.8,-124,76.4,14.9,0,0,0,0,33.0,94.0,0.0,807.0,152,5.4,104,0.14,-1.957645900024624,0.002059356600000001
9,2013-01-01T09:00:00Z,2013-01-01T10:00:00Z,PT60M,14.9,-117,63.6,13.8,3,0,0,3,31.4,92.9,0.0,808.5,157,6.3,92,0.14,22.32208815562669,0.0101556315
10,2013-01-01T10:00:00Z,2013-01-01T11:00:00Z,PT60M,14.0,-111,76.1,12.6,24,0,0,24,28.2,91.4,0.0,810.9,167,6.0,79,0.14,65.68579167692687,0.02770677
11,2013-01-01T11:00:00Z,2013-01-01T12:00:00Z,PT60M,13.1,-106,84.0,11.4,57,0,0,57,25.0,89.9,0.0,813.3,178,5.9,66,0.14,75.68127718952637,0.037662345
12,2013-01-01T12:00:00Z,2013-01-01T13:00:00Z,PT60M,12.6,-101,78.4,10.4,123,0,0,123,22.8,86.7,0.0,814.6,185,5.5,53,0.14,178.7347123040302,0.08104729499999999
