,index,Dia,Hora,GHI,cantidad,GHI_prom,Ghi estimado,Año
0,3,1.0,9.0,1339.448411721251,59.0,22.70251545290256,3,2013
1,4,1.0,10.0,3941.147500615613,60.0,65.68579167692687,24,2013
2,5,1.0,11.0,4540.876631371582,60.0,75.68127718952637,57,2013
3,6,1.0,12.0,10724.082738241812,60.0,178.7347123040302,123,2013
4,7,1.0,13.0,11869.859640482638,60.0,197.830994008044,97,2013
5,8,1.0,14.0,9231.346958877126,60.0,153.8557826479521,121,2013
6,9,1.0,15.0,4008.126077320856,60.0,66.80210128868093,91,2013
7,10,1.0,16.0,2622.9992612656984,60.0,43.71665435442831,93,2013
8,11,1.0,17.0,2402.117704998769,60.0,40.03529508331282,155,2013
9,12,1.0,18.0,2940.655011081015,60.0,49.010916851350245,77,2013
10,13,1.0,19.0,1531.0268406796354,58.0,26.397014494476476,161,2013
11,14,2.0,7.0,865.3041122876137,57.0,15.180773899782697,0,2013
12,15,2.0,8.0,2645.407535089879,60.0,44.09012558483131,0,2013
13,16,2.0,9.0,5851.514405318885,60.0,97.52524008864808,3,2013
14,17,2.0,10.0,9506.525486333414,60.0,158.44209143889023,38,2013
15,18,2.0,11.0,15141.467618813096,60.0,252.35779364688491,66,2013
16,19,2.0,12.0,13682.221127801033,60.0,228.03701879668387,103,2013
17,20,2.0,13.0,4943.6099482886,60.0,82.39349913814334,155,2013
18,21,2.0,14.0,4848.066978576704,60.0,80.80111630961173,225,2013
19,22,2.0,15.0,3520.930805220389,60.0,58.682180087006486,199,2013
20,23,2.0,16.0,5471.435606993351,60.0,91.19059344988918,67,2013
21,24,2.0,17.0,3966.633834031025,59.0,67.23108193272924,64,2013
22,27,3.0,7.0,568.4560453090372,32.0,17.764251415907413,0,2013
23,28,3.0,8.0,5549.495198227037,60.0,92.49158663711728,0,2013
24,29,3.0,9.0,12772.10046786506,60.0,212.86834113108432,3,2013
25,30,3.0,10.0,22447.05737503078,60.0,374.1176229171797,49,2013
26,31,3.0,11.0,31902.363949766062,60.0,531.7060658294345,130,2013
27,32,3.0,12.0,42354.71558729376,60.0,705.9119264548959,237,2013
28,33,3.0,13.0,53986.21029303127,60.0,899.7701715505211,393,2013
29,34,3.0,14.0,56361.61044077814,60.0,939.360174012969,515,2013
30,35,3.0,15.0,45736.76434375767,60.0,762.2794057292945,685,2013
31,36,3.0,16.0,38150.94804235411,60.0,635.8491340392352,954,2013
32,37,3.0,17.0,23504.801772962328,60.0,391.7466962160388,970,2013
33,38,3.0,18.0,7604.161536567345,60.0,126.73602560945577,881,2013
34,39,3.0,19.0,1807.805959123369,56.0,32.28224927006016,632,2013
35,40,4.0,7.0,4323.811868997784,57.0,75.85634857890848,0,2013
36,41,4.0,8.0,14730.115735040625,60.0,245.50192891734372,0,2013
37,42,4.0,9.0,26650.82491997044,60.0,444.1804153328406,6,2013
38,43,4.0,10.0,29100.344742674224,60.0,485.005745711237,133,2013
39,44,4.0,11.0,32059.59123368629,60.0,534.3265205614381,364,2013
40,45,4.0,12.0,37383.40310268408,60.0,623.056718378068,588,2013
41,46,4.0,13.0,36521.42329475499,60.0,608.6903882459166,656,2013
42,47,4.0,14.0,51071.78034966756,60.0,851.1963391611259,681,2013
43,48,4.0,15.0,38332.061068702285,60.0,638.8676844783714,748,2013
44,49,4.0,16.0,31143.56069933513,60.0,519.0593449889188,809,2013
45,50,4.0,17.0,16795.73996552573,60.0,279.9289994254288,903,2013
46,51,4.0,18.0,5293.400640236395,60.0,88.22334400393991,707,2013
47,53,5.0,7.0,2139.62078305836,46.0,46.51349528387739,0,2013
48,54,5.0,8.0,13876.13888204876,60.0,231.2689813674793,0,2013
49,55,5.0,9.0,26460.23147008126,60.0,441.00385783468766,5,2013
50,56,5.0,10.0,33039.152918000495,60.0,550.6525486333416,82,2013
51,57,5.0,11.0,46209.431174587546,60.0,770.1571862431258,280,2013
52,58,5.0,12.0,49766.683082984455,60.0,829.4447180497409,539,2013
53,59,5.0,13.0,44741.19674956909,60.0,745.6866124928181,748,2013
54,60,5.0,14.0,51602.56094557989,60.0,860.0426824263315,915,2013
55,61,5.0,15.0,45029.42624969218,60.0,750.4904374948696,931,2013
56,62,5.0,16.0,22637.404580152677,60.0,377.2900763358778,904,2013
57,63,5.0,17.0,23036.074858409254,60.0,383.9345809734877,665,2013
58,64,5.0,18.0,6870.598374784536,60.0,114.5099729130756,501,2013
59,67,6.0,7.0,4246.367889682344,60.0,70.77279816137239,0,2013
60,68,6.0,8.0,14630.386604284658,60.0,243.83977673807763,0,2013
61,69,6.0,9.0,29727.160797833043,60.0,495.45267996388407,4,2013
62,70,6.0,10.0,22688.500369367142,60.0,378.1416728227857,94,2013
63,71,6.0,11.0,8928.712139867026,60.0,148.81186899778376,293,2013
64,72,6.0,12.0,21299.310514651563,60.0,354.98850857752603,471,2013
65,73,6.0,13.0,25001.354346220138,60.0,416.68923910366897,233,2013
66,74,6.0,14.0,10572.272839202167,60.0,176.20454732003614,178,2013
67,75,6.0,15.0,7348.190100960354,60.0,122.4698350160059,248,2013
68,76,6.0,16.0,3825.289337601575,51.0,75.0056732863054,398,2013
69,80,7.0,7.0,3591.7261758187637,60.0,59.86210293031272,0,2013
70,81,7.0,8.0,13342.526471312483,60.0,222.3754411885414,0,2013
71,82,7.0,9.0,21750.184683575462,60.0,362.5030780595911,4,2013
72,83,7.0,10.0,39813.96207830584,60.0,663.5660346384306,107,2013
73,84,7.0,11.0,49598.74415168677,60.0,826.6457358614462,347,2013
74,85,7.0,12.0,54969.58877123862,60.0,916.159812853977,598,2013
75,86,7.0,13.0,55177.66559960599,60.0,919.6277599934332,808,2013
76,87,7.0,14.0,53890.79044570304,60.0,898.1798407617173,969,2013
77,88,7.0,15.0,48816.17828121151,60.0,813.6029713535252,1068,2013
78,89,7.0,16.0,39816.424525978815,60.0,663.6070754329802,1098,2013
79,90,7.0,17.0,29139.374538291057,60.0,485.6562423048509,1058,2013
80,91,7.0,18.0,16215.217926619049,60.0,270.2536321103175,950,2013
81,92,7.0,19.0,4045.4321595666097,43.0,94.07981766433976,781,2013
82,93,8.0,7.0,3887.466141344496,47.0,82.71204556052119,0,2013
83,94,8.0,8.0,15252.400886481162,60.0,254.2066814413527,0,2013
84,95,8.0,9.0,26835.016005909867,60.0,447.2502667651645,6,2013
85,96,8.0,10.0,38527.21004678648,60.0,642.1201674464413,120,2013
86,97,8.0,11.0,47489.65771977344,60.0,791.4942953295574,353,2013
87,98,8.0,12.0,53336.86284166461,60.0,888.9477140277435,565,2013
88,99,8.0,13.0,55579.16769268654,60.0,926.3194615447755,765,2013
89,100,8.0,14.0,47815.31642452596,60.0,796.921940408766,889,2013
90,101,8.0,15.0,49012.68160551587,60.0,816.8780267585978,1007,2013
91,102,8.0,16.0,40575.84338832799,60.0,676.2640564721331,1046,2013
92,103,8.0,17.0,30011.94287121399,60.0,500.19904785356647,1034,2013
