Dia;Hora;GHI;cantidad;GHI_prom
1.0;0.0;0.0;2;0.0
1.0;1.0;0.0;10;0.0
1.0;2.0;2.9549372075843388;15;0.19699581383895592
1.0;3.0;175.4493967003201;40;4.386234917508003
1.0;4.0;1906.3038660428463;57;33.4439274744359
1.0;5.0;1505.786752031519;60;25.09644586719198
1.0;6.0;382.2950012312238;42;9.102261934076758
1.0;7.0;7256.094557990641;60;120.93490929984402
1.0;8.0;19969.465648854963;60;332.82442748091603
1.0;9.0;27791.676926865297;60;463.1946154477549
1.0;10.0;39576.21275547894;60;659.603545924649
1.0;11.0;47329.72174341295;50;946.594434868259
1.0;12.0;30232.085693179015;36;839.7801581438615
1.0;13.0;39225.19083969466;37;1060.1402929647206
1.0;14.0;36838.217187884766;34;1083.476976114258
1.0;15.0;32755.60206845604;34;963.4000608369423
1.0;16.0;29318.517606500864;36;814.4032668472462
1.0;17.0;28216.0797833046;55;513.01963242372
1.0;18.0;18001.846835754735;60;300.03078059591223
1.0;19.0;2339.9409012558485;60;38.999015020930806
1.0;20.0;113.39571534104897;21;5.39979596862138
2.0;4.0;6.771731100714109;26;0.2604511961813119
2.0;5.0;0.0;1;0.0
2.0;6.0;319.8719527210046;26;12.30276741234633
2.0;7.0;7089.386850529428;60;118.15644750882379
2.0;8.0;21025.97882295002;60;350.4329803825003
2.0;9.0;24424.15661167199;43;568.0036421319068
2.0;10.0;25701.55134203398;32;803.1734794385619
2.0;11.0;29924.033489288347;32;935.1260465402609
2.0;12.0;38155.62669293278;35;1090.1607626552225
2.0;13.0;37304.11228761389;36;1036.225341322608
2.0;14.0;30627.30854469342;36;850.7585706859284
2.0;15.0;25596.89731593203;35;731.3399233123437
2.0;16.0;11533.489288352619;37;311.71592671223294
2.0;17.0;18359.763605023392;36;509.993433472872
2.0;18.0;9595.78921447919;27;355.3996005362663
2.0;19.0;3693.0558975621752;43;85.88502087353896
2.0;20.0;110.563900517114;21;5.2649476436720954
2.0;21.0;558.2368874661413;17;32.837463968596545
2.0;22.0;2452.7210046786504;60;40.87868341131084
2.0;23.0;1243.4129524747598;60;20.72354920791266
3.0;0.0;323.81186899778385;57;5.68090998241726
3.0;1.0;122.38364934745137;38;3.22062235124872
3.0;2.0;3.4474267421817286;22;0.15670121555371494
3.0;3.0;0.36936715094804234;20;0.018468357547402118
3.0;4.0;0.49248953459738976;9;0.054721059399709976
3.0;5.0;1.1081014528441269;14;0.0791501037745805
3.0;6.0;27.33316917015513;20;1.3666584585077566
3.0;7.0;741.0736271854221;47;15.767523982668555
3.0;8.0;1745.6291553804476;49;35.625084803682604
3.0;9.0;2361.241073627186;47;50.23917177930183
3.0;10.0;5124.353607485841;43;119.1710141275777
3.0;11.0;14520.930805220387;50;290.41861610440776
3.0;12.0;10005.048017729623;54;185.27866699499302
3.0;13.0;9949.273577936465;49;203.04639954972376
3.0;14.0;15861.364196010829;46;344.8122651306702
3.0;15.0;10604.038414183698;55;192.8006984397036
3.0;16.0;4105.63900517114;41;100.13753671149121
3.0;17.0;2606.9933513912824;46;56.67376850850614
3.0;18.0;1363.5803989165233;44;30.990463611739166
3.0;19.0;570.179758680128;41;13.906823382442147
3.0;20.0;56.63629647869983;23;2.4624476729869493
3.0;21.0;0.49248953459738976;13;0.03788381035364537
3.0;22.0;0.24624476729869488;12;0.02052039727489124
3.0;23.0;0.0;15;0.0
4.0;0.0;5.540507264220635;33;0.16789415952183745
4.0;1.0;15.267175572519077;41;0.37237013591509943
4.0;2.0;2.8318148239349914;28;0.10113624371196397
4.0;3.0;8.002954937207583;34;0.23538102756492893
4.0;4.0;49.74144299433638;47;1.0583285743475825
4.0;5.0;32.25806451612903;46;0.7012622720897616
4.0;6.0;94.1886234917508;36;2.6163506525486335
4.0;7.0;2082.738241812361;43;48.435773065403744
4.0;8.0;10257.69514897808;53;193.5414179052468
4.0;9.0;35460.8470819995;60;591.014118033325
4.0;10.0;49252.15464171386;60;820.8692440285644
4.0;11.0;59464.17138635806;60;991.0695231059676
4.0;12.0;58916.52302388573;54;1091.0467226645505
4.0;13.0;62831.81482393496;56;1121.996693284553
4.0;14.0;65251.16966264464;60;1087.5194943774106
4.0;15.0;57056.390051711394;59;967.057458503583
4.0;16.0;43095.296724944594;52;828.7557062489345
4.0;17.0;30324.91997045063;60;505.41533284084386
