PeriodStart;PeriodEnd;Period;AirTemp;Azimuth;CloudOpacity;DewpointTemp;Dhi;Dni;Ebh;Ghi;PrecipitableWater;RelativeHumidity;SnowWater;SurfacePressure;WindDirection10m;WindSpeed10m;Zenith;AlbedoDaily
2014-01-01T00:00:00Z;2014-01-01T01:00:00Z;PT60M;17.2;126;98.2;17;0;0;0;0;40.8;98.9;0;804.9;154;4.4;106;0.14
2014-01-01T01:00:00Z;2014-01-01T02:00:00Z;PT60M;17.3;135;84.8;17.1;0;0;0;0;38.9;98.7;0;805.9;165;4.2;116;0.14
2014-01-01T02:00:00Z;2014-01-01T03:00:00Z;PT60M;17.3;148;75.5;17.1;0;0;0;0;37;98.5;0;806.9;177;4.1;125;0.14
2014-01-01T03:00:00Z;2014-01-01T04:00:00Z;PT60M;17.2;164;75;16.8;0;0;0;0;34.5;98;0;807.2;185;3.6;130;0.14
2014-01-01T04:00:00Z;2014-01-01T05:00:00Z;PT60M;16.9;-178;31;16.4;0;0;0;0;31.5;97;0;806.7;191;2.5;132;0.14
2014-01-01T05:00:00Z;2014-01-01T06:00:00Z;PT60M;16.6;-160;0;16;0;0;0;0;28.5;96.1;0;806.2;206;1.5;129;0.14
2014-01-01T06:00:00Z;2014-01-01T07:00:00Z;PT60M;16.3;-145;0;15.7;0;0;0;0;26.5;95.7;0;805.9;236;1;123;0.14
2014-01-01T07:00:00Z;2014-01-01T08:00:00Z;PT60M;16.2;-133;0;15.5;0;0;0;0;25.5;95.8;0;805.6;265;1;114;0.14
2014-01-01T08:00:00Z;2014-01-01T09:00:00Z;PT60M;16;-124;0;15.4;0;0;0;0;24.5;95.8;0;805.4;289;1.2;104;0.14
2014-01-01T09:00:00Z;2014-01-01T10:00:00Z;PT60M;16.3;-117;9.4;15.4;2;0;0;2;23.3;94.4;0;805.3;299;1.6;92;0.14
2014-01-01T10:00:00Z;2014-01-01T11:00:00Z;PT60M;16.9;-111;44.7;15.6;78;47;13;91;21.8;91.6;0;805.4;301;2;79;0.14
2014-01-01T11:00:00Z;2014-01-01T12:00:00Z;PT60M;17.6;-106;21.4;15.7;203;196;83;286;20.4;88.6;0;805.4;303;2.5;66;0.14
2014-01-01T12:00:00Z;2014-01-01T13:00:00Z;PT60M;19.1;-101;12.5;15.6;239;475;284;523;19.6;79.8;0;805.3;313;2.3;53;0.14
2014-01-01T13:00:00Z;2014-01-01T14:00:00Z;PT60M;21.4;-97;11.9;15;279;555;435;714;19.2;66.9;0;805.1;346;1.7;40;0.14
2014-01-01T14:00:00Z;2014-01-01T15:00:00Z;PT60M;23.7;-92;3.5;14.5;187;830;741;929;19;56.3;0;804.8;26;1.9;26;0.14
2014-01-01T15:00:00Z;2014-01-01T16:00:00Z;PT60M;25;-83;3.6;14.3;201;840;818;1019;19.2;51.4;0;804.5;46;2.4;12;0.14
2014-01-01T16:00:00Z;2014-01-01T17:00:00Z;PT60M;25.4;25;0.7;14.5;142;937;933;1075;20;50.8;0;803.9;57;2.7;5;0.14
2014-01-01T17:00:00Z;2014-01-01T18:00:00Z;PT60M;25.7;86;1.7;14.6;168;886;852;1020;20.9;50.4;0;803.4;67;3;15;0.14
2014-01-01T18:00:00Z;2014-01-01T19:00:00Z;PT60M;25.7;93;4.5;14.8;203;781;685;888;21.8;51.2;0;802.8;73;3;29;0.14
2014-01-01T19:00:00Z;2014-01-01T20:00:00Z;PT60M;25.2;98;0.2;15.1;128;850;627;755;22.7;53.3;0;802.2;78;2.7;42;0.14
2014-01-01T20:00:00Z;2014-01-01T21:00:00Z;PT60M;24.8;102;1.4;15.3;135;698;397;532;23.7;55.7;0;801.7;84;2.5;56;0.14
2014-01-01T21:00:00Z;2014-01-01T22:00:00Z;PT60M;23.9;107;13.5;15.6;140;313;129;268;25.1;59.9;0;801.6;86;2.3;69;0.14
2014-01-01T22:00:00Z;2014-01-01T23:00:00Z;PT60M;22.5;112;29.6;15.9;58;4;1;59;26.9;66.5;0;801.9;83;2.1;82;0.14
2014-01-01T23:00:00Z;2014-01-02T00:00:00Z;PT60M;21.1;118;0.7;16.3;1;0;0;1;28.7;73.9;0;802.3;80;1.9;94;0.14
2014-01-02T00:00:00Z;2014-01-02T01:00:00Z;PT60M;20.1;125;0;16.5;0;0;0;0;30;80.1;0;802.7;73;1.5;106;0.14
2014-01-02T01:00:00Z;2014-01-02T02:00:00Z;PT60M;19.4;135;0;16.7;0;0;0;0;30.8;84.8;0;803;57;1.2;116;0.14
2014-01-02T02:00:00Z;2014-01-02T03:00:00Z;PT60M;18.7;148;0;16.9;0;0;0;0;31.6;89.6;0;803.4;30;0.9;125;0.14
2014-01-02T03:00:00Z;2014-01-02T04:00:00Z;PT60M;18.2;164;0;16.9;0;0;0;0;31.9;92.1;0;803.4;360;0.8;130;0.14
2014-01-02T04:00:00Z;2014-01-02T05:00:00Z;PT60M;18.1;-178;0;16.7;0;0;0;0;31.8;91.9;0;803;326;0.8;132;0.14
2014-01-02T05:00:00Z;2014-01-02T06:00:00Z;PT60M;17.9;-160;0;16.5;0;0;0;0;31.7;91.7;0;802.7;300;1;129;0.14
2014-01-02T06:00:00Z;2014-01-02T07:00:00Z;PT60M;17.6;-145;0;16.2;0;0;0;0;31.2;91.5;0;802.3;293;1.2;123;0.14
2014-01-02T07:00:00Z;2014-01-02T08:00:00Z;PT60M;17.2;-133;0;15.7;0;0;0;0;30.3;91.2;0;801.9;296;1.2;114;0.14
2014-01-02T08:00:00Z;2014-01-02T09:00:00Z;PT60M;16.8;-124;0;15.3;0;0;0;0;29.5;90.8;0;801.5;300;1.2;104;0.14
2014-01-02T09:00:00Z;2014-01-02T10:00:00Z;PT60M;17.1;-117;1.7;15.1;6;6;1;6;28.9;87.8;0;801.4;303;1.2;92;0.14
2014-01-02T10:00:00Z;2014-01-02T11:00:00Z;PT60M;18.2;-111;9.8;15.2;68;223;53;121;28.6;82.6;0;801.4;306;1.2;79;0.14
2014-01-02T11:00:00Z;2014-01-02T12:00:00Z;PT60M;19.3;-106;2.7;15.3;108;576;233;341;28.3;77.6;0;801.5;309;1.2;66;0.14
2014-01-02T12:00:00Z;2014-01-02T13:00:00Z;PT60M;20.6;-101;5.3;15.3;175;625;374;549;28.1;71.7;0;801.6;322;0.9;53;0.14
2014-01-02T13:00:00Z;2014-01-02T14:00:00Z;PT60M;22.3;-97;1.5;15.4;156;803;615;771;28.1;65.3;0;801.6;10;0.7;40;0.14
2014-01-02T14:00:00Z;2014-01-02T15:00:00Z;PT60M;23.8;-92;0.7;15.5;150;874;782;933;28.1;59.7;0;801.6;56;1;26;0.14
2014-01-02T15:00:00Z;2014-01-02T16:00:00Z;PT60M;24.6;-83;1.4;15.8;153;894;870;1023;28.5;58.3;0;801.5;74;1.4;13;0.14
2014-01-02T16:00:00Z;2014-01-02T17:00:00Z;PT60M;24.4;24;5.7;16.3;226;779;777;1003;29.4;61;0;801.3;84;1.8;5;0.14
2014-01-02T17:00:00Z;2014-01-02T18:00:00Z;PT60M;24.1;86;22.3;16.9;490;314;301;791;30.3;63.9;0;801.1;91;2.2;15;0.14
